,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,winning_odds_calculated,yellowcards
1809,292,1364,248940,1840,7566,,2014-09-14,VPS,Jaro,3,3,,,,,,,,False,,False,,,,,,1233,1924,1840,1097,https://cdn.sportmonks.com/images/soccer/teams/16/1840.png,False,,952,,,,,,,37577,,,3-3,2-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-14 15:30:00,15:30:00,1410708600,UTC,FT,5919,1233,1965,7566,1102,https://cdn.sportmonks.com/images/soccer/teams/14/7566.png,False,,4918,,False,
1810,292,1364,248950,1858,1666,,2014-09-17,TPS,Inter Turku,1,6,,,,,,,,False,,False,,,,,,1233,1922,1858,1115,https://cdn.sportmonks.com/images/soccer/teams/2/1858.png,False,,961,,,,,,,37586,,,1-6,0-2,,,,,,,,,,2266,,,0,,,,,90,2014-09-17 15:30:00,15:30:00,1410967800,UTC,FT,5915,1233,1990,1666,1100,https://cdn.sportmonks.com/images/soccer/teams/2/1666.png,False,,813,,False,
1811,292,1364,248960,850,826,,2014-09-17,Mariehamn,SJK,2,2,,,,,,,,False,,False,,,,,,1233,1935,850,1103,https://cdn.sportmonks.com/images/soccer/teams/18/850.png,False,,139212,,,,,,,37586,,,2-2,2-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-17 15:30:00,15:30:00,1410967800,UTC,FT,296,1233,0,826,1101,https://cdn.sportmonks.com/images/soccer/teams/26/826.png,False,,282,,False,
1812,292,1364,248971,1840,6322,,2014-09-17,VPS,RoPS,2,0,,,,,,,,False,,False,,,,,,1233,1924,1840,1097,https://cdn.sportmonks.com/images/soccer/teams/16/1840.png,False,,952,,,,,,,37586,,,2-0,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-17 15:30:00,15:30:00,1410967800,UTC,FT,5919,1233,1950,6322,1106,https://cdn.sportmonks.com/images/soccer/teams/18/6322.png,False,,4090,,False,
1813,292,1364,248982,6901,8996,,2014-09-17,Honka,MYPA,2,0,,,,,,,,False,,False,,,,,,1233,1957,6901,1939,https://cdn.sportmonks.com/images/soccer/teams/21/6901.png,False,,4514,,,,,,,37586,,,2-0,1-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-17 15:30:00,15:30:00,1410967800,UTC,FT,5909,1233,1947,8996,1912,https://cdn.sportmonks.com/images/soccer/teams/4/8996.png,False,,5863,,False,
1814,292,1364,248992,7566,4323,,2014-09-19,Jaro,KuPS,3,2,,,,,,,,False,,False,,,,,,1233,1965,7566,1102,https://cdn.sportmonks.com/images/soccer/teams/14/7566.png,False,,4918,,,,,,,37586,,,3-2,3-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-19 15:30:00,15:30:00,1411140600,UTC,FT,5925,1233,1923,4323,1099,https://cdn.sportmonks.com/images/soccer/teams/3/4323.png,False,,2556,,False,
1815,292,1364,249004,3420,724,,2014-09-25,Lahti,HJK,0,2,,,,,,,,False,,False,,,,,,1233,1996,3420,1104,https://cdn.sportmonks.com/images/soccer/teams/28/3420.png,False,,1996,,,,,,,37586,,,0-2,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-25 15:30:00,15:30:00,1411659000,UTC,FT,1996,1233,1907,724,145,https://cdn.sportmonks.com/images/soccer/teams/20/724.png,False,,45583,,False,
1816,292,1364,249015,826,1858,,2014-09-21,SJK,TPS,2,1,,,,,,,,False,,False,,,,,,1233,0,826,1101,https://cdn.sportmonks.com/images/soccer/teams/26/826.png,False,,282,,,,,,,37596,,,2-1,2-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-21 13:00:00,13:00:00,1411304400,UTC,FT,282,1233,1922,1858,1115,https://cdn.sportmonks.com/images/soccer/teams/2/1858.png,False,,961,,False,
1817,292,1364,249025,8996,1840,,2014-09-21,MYPA,VPS,0,0,,,,,,,,False,,False,,,,,,1233,1947,8996,1912,https://cdn.sportmonks.com/images/soccer/teams/4/8996.png,False,,5863,,,,,,,37596,,,0-0,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-21 15:30:00,15:30:00,1411313400,UTC,FT,5863,1233,1924,1840,1097,https://cdn.sportmonks.com/images/soccer/teams/16/1840.png,False,,952,,False,
1818,292,1364,249034,724,850,,2014-09-21,HJK,Mariehamn,5,1,,,,,,,,False,,False,,,,,,1233,1907,724,145,https://cdn.sportmonks.com/images/soccer/teams/20/724.png,False,,45583,,,,,,,37596,,,5-1,1-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-21 15:30:00,15:30:00,1411313400,UTC,FT,5929,1233,1935,850,1103,https://cdn.sportmonks.com/images/soccer/teams/18/850.png,False,,139212,,False,
