matchid  teamid     passes  bad_passes  pass_ratio   corners     fouls  cards  goals     shots  is_home                team_name   pass_80   pass_70  expected_goals  on_target  length  op_teamid  op_passes  op_bad_passes  op_pass_ratio  op_corners  op_fouls  op_cards  op_goals  op_shots             op_team_name  op_pass_80  op_pass_70  op_expected_goals  op_on_target  competitionid  seasonid  shots_op_ratio  goals_op_ratio  pass_op_ratio  points      timestamp
34    731822     596   4.466667    1.025000    0.812121  0.033333  0.225000      1      1  0.141667        0                      USA  0.316667  0.658333        1.418435   0.041667     120        360   3.600000       1.108333       0.763251    0.158333  0.091667         1         2  0.325000                  Belgium    0.275000    0.916667           4.226578      0.150000              4      2013        0.435897        0.500000       1.064029       0  1404257575406
35    731822     360   3.600000    1.108333    0.763251  0.158333  0.091667      1      2  0.325000        1                  Belgium  0.275000  0.916667        4.226578   0.150000     120        596   4.466667       1.025000       0.812121    0.033333  0.225000         1         1  0.141667                      USA    0.316667    0.658333           1.418435      0.041667              4      2013        2.294118        2.000000       0.939824       3  1404257572689
36    731821     497   2.387097    0.991935    0.704762  0.040323  0.145161      2      0  0.120968        0              Switzerland  0.161290  0.290323        1.391537   0.032258     124        632   4.637097       1.209677       0.792011    0.104839  0.233871         3         1  0.233871                Argentina    0.217742    0.580645           2.368077      0.064516              4      2013        0.517241        0.000000       0.889839       0  1404243457601
37    731821     632   4.637097    1.209677    0.792011  0.104839  0.233871      3      1  0.233871        1                Argentina  0.217742  0.580645        2.368077   0.064516     124        497   2.387097       0.991935       0.704762    0.040323  0.145161         2         0  0.120968              Switzerland    0.161290    0.290323           1.391537      0.032258              4      2013        1.933333        1.000000       1.123799       3  1404243374227
38    731820     357   6.000000    1.147541    0.838488  0.081967  0.163934      1      2  0.229508        1                  Germany  0.213115  0.713115        3.414730   0.098361     122       1215   2.467213       1.254098       0.661538    0.032787  0.090164         1         1  0.081967                  Algeria    0.057377    0.172131           1.044178      0.032787              4      2013        2.800000        2.000000       1.267482       3  1404171338462
39    731820    1215   2.467213    1.254098    0.661538  0.032787  0.090164      1      1  0.081967        0                  Algeria  0.057377  0.172131        1.044178   0.032787     122        357   6.000000       1.147541       0.838488    0.081967  0.163934         1         2  0.229508                  Germany    0.213115    0.713115           3.414730      0.098361              4      2013        0.357143        0.500000       0.788966       0  1404171337303
40    731819    1216   3.073684    1.021053    0.748718  0.094737  0.126316      0      0  0.105263        0                  Nigeria  0.147368  0.463158        0.206472   0.021053      95        368   3.589474       0.978947       0.783908    0.126316  0.157895         1         2  0.136842                   France    0.326316    0.810526           1.987136      0.063158              4      2013        0.769231        0.000000       0.955109       0  1404154449352
41    731819     368   3.589474    0.978947    0.783908  0.126316  0.157895      1      2  0.136842        1                   France  0.326316  0.810526        1.987136   0.063158      95       1216   3.073684       1.021053       0.748718    0.094737  0.126316         0         0  0.105263                  Nigeria    0.147368    0.463158           0.206472      0.021053              4      2013        1.300000        2.000000       1.047000       3  1404154448434
42    741509    1897   3.836957    1.021739    0.787946  0.065217  0.108696      2      0  0.086957        0           Houston Dynamo  0.271739  0.717391        0.349776   0.021739      92       1616   4.119565       0.956522       0.809829    0.065217  0.173913         1         3  0.184783          Montreal Impact    0.119565    0.434783           2.540057      0.086957             98      2014        0.470588        0.000000       0.972979       0  1404095286450
43    741509    1616   4.119565    0.956522    0.809829  0.065217  0.173913      1      3  0.184783        1          Montreal Impact  0.119565  0.434783        2.540057   0.086957      92       1897   3.836957       1.021739       0.787946    0.065217  0.108696         2         0  0.086957           Houston Dynamo    0.271739    0.717391           0.349776      0.021739             98      2014        2.125000        3.000000       1.027772       3  1404095281520
44    731818     517   3.835938    0.851562    0.816972  0.085938  0.171875      3      1  0.210938        0                   Greece  0.171875  0.429688        2.814426   0.062500     128        838   2.312500       0.867188       0.725490    0.023438  0.125000         6         1  0.093750               Costa Rica    0.117188    0.265625           0.237749      0.007812              4      2013        2.250000        1.000000       1.126096       1  1404086170610
45    731818     838   2.312500    0.867188    0.725490  0.023438  0.125000      6      1  0.093750        1               Costa Rica  0.117188  0.265625        0.237749   0.007812     128        517   3.835938       0.851562       0.816972    0.085938  0.171875         3         1  0.210938                   Greece    0.171875    0.429688           2.814426      0.062500              4      2013        0.444444        1.000000       0.888024       1  1404086144245
46    741506     454   5.559140    0.913978    0.857380  0.021505  0.096774      0      0  0.107527        1            Columbus Crew  0.258065  0.720430        0.334051   0.021505      93       1903   3.473118       1.010753       0.772727    0.043011  0.043011         0         0  0.075269                FC Dallas    0.139785    0.397849           0.973955      0.021505             98      2014        1.428571        0.000000       1.109550       1  1404075429572
47    741506    1903   3.473118    1.010753    0.772727  0.043011  0.043011      0      0  0.075269        0                FC Dallas  0.139785  0.397849        0.973955   0.021505      93        454   5.559140       0.913978       0.857380    0.021505  0.096774         0         0  0.107527            Columbus Crew    0.258065    0.720430           0.334051      0.021505             98      2014        0.700000        0.000000       0.901266       1  1404075425979
48    731817     659   3.187500    1.010417    0.757426  0.020833  0.083333      3      1  0.104167        0                   Mexico  0.104167  0.343750        0.772759   0.052083      96        366   4.468750       0.979167       0.818702    0.104167  0.125000         0         2  0.135417              Netherlands    0.104167    0.489583           1.345962      0.031250              4      2013        0.769231        0.500000       0.925154       0  1404068315798
49    731817     366   4.468750    0.979167    0.818702  0.104167  0.125000      0      2  0.135417        1              Netherlands  0.104167  0.489583        1.345962   0.031250      96        659   3.187500       1.010417       0.757426    0.020833  0.083333         3         1  0.104167                   Mexico    0.104167    0.343750           0.772759      0.052083              4      2013        1.300000        2.000000       1.080901       3  1404068314970
50    741503    1131   3.956989    1.268817    0.755647  0.064516  0.107527      0      0  0.139785        1     San Jose Earthquakes  0.193548  0.569892        0.377385   0.010753      93       1230   3.580645       1.258065       0.738359    0.032258  0.118280         2         1  0.182796                LA Galaxy    0.182796    0.505376           0.992879      0.053763             98      2014        0.764706        0.000000       1.023414       0  1404020844210
51    741503    1230   3.580645    1.258065    0.738359  0.032258  0.118280      2      1  0.182796        0                LA Galaxy  0.182796  0.505376        0.992879   0.053763      93       1131   3.956989       1.268817       0.755647    0.064516  0.107527         0         0  0.139785     San Jose Earthquakes    0.193548    0.569892           0.377385      0.010753             98      2014        1.307692        1.000000       0.977122       3  1404020832146
52    741508    2079   3.084211    0.989474    0.755155  0.042105  0.094737      3      1  0.200000        1               Chivas USA  0.294737  0.663158        1.650050   0.084211      95       1899   4.294737       1.031579       0.804734    0.063158  0.147368         2         0  0.094737           Real Salt Lake    0.168421    0.568421           0.897589      0.021053             98      2014        2.111111        1.000000       0.938391       3  1404019977268
53    741508    1899   4.294737    1.031579    0.804734  0.063158  0.147368      2      0  0.094737        0           Real Salt Lake  0.168421  0.568421        0.897589   0.021053      95       2079   3.084211       0.989474       0.755155    0.042105  0.094737         3         1  0.200000               Chivas USA    0.294737    0.663158           1.650050      0.084211             98      2014        0.473684        0.000000       1.065654       0  1404019969911
54    741507    1708   4.913043    1.076087    0.818841  0.043478  0.119565      1      0  0.076087        0      Vancouver Whitecaps  0.152174  0.565217        0.254178   0.010870      92        436   4.543478       1.032609       0.813230    0.032609  0.119565         1         2  0.206522          Colorado Rapids    0.163043    0.478261           1.310880      0.065217             98      2014        0.368421        0.000000       1.006900       0  1404014760417
55    741507     436   4.543478    1.032609    0.813230  0.032609  0.119565      1      2  0.206522        1          Colorado Rapids  0.163043  0.478261        1.310880   0.065217      92       1708   4.913043       1.076087       0.818841    0.043478  0.119565         1         0  0.076087      Vancouver Whitecaps    0.152174    0.565217           0.254178      0.010870             98      2014        2.714286        2.000000       0.993148       3  1404014369844
