     matchid  teamid  op_teamid  competitionid  seasonid  is_home                team_name             op_team_name                   timestamp  goals  op_goals  points  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
20    741514     436        454             98      2014        1          Colorado Rapids            Columbus Crew  2014-07-05 02:30:00.000000      1         1       1    1.666667   2.000000      1.000000  0.499998  0.201447    0.393552    0.101839        1.371055           0.436036  4.224557    1.136376    0.782623  0.067623  0.139968  1.000000  0.158648   3.421257       1.197016    0.023322  0.106477  1.666667  0.079759        1.694444        2.176740       1.095447
21    741513    5513       1903             98      2014        0       Philadelphia Union                FC Dallas  2014-07-05 02:00:00.000000      1         2       0    1.666667   2.500000      2.333333  0.494022  0.179487    0.546194    0.193773        1.620859           1.764168  3.775661    1.189941    0.748850  0.062420  0.124577  2.000000  0.175905   3.668836       1.202151    0.040728  0.136538  1.833333  0.150819        1.641667        1.693687       1.011049
22    741513    1903       5513             98      2014        1                FC Dallas       Philadelphia Union  2014-07-05 02:00:00.000000      2         1       3    1.000000   1.166667      1.333333  0.427105  0.166000    0.756558    0.239717        1.235239           0.937673  3.082568    1.071138    0.732775  0.047733  0.107011  2.166667  0.121404   4.632500       1.031199    0.043795  0.131837  1.333333  0.159912        0.583333        0.845455       0.899616
23    741512     399       1897             98      2014        0       New York Red Bulls           Houston Dynamo  2014-07-05 01:30:00.000000      2         2       1    0.833333   1.666667      2.000000  0.533977  0.213990    0.566747    0.233715        1.110590           1.139185  3.878170    1.194904    0.763696  0.054649  0.146835  2.166667  0.125538   3.454526       0.980007    0.045989  0.134441  1.666667  0.155584        0.883333        0.945998       0.995210
24    741512    1897        399             98      2014        1           Houston Dynamo       New York Red Bulls  2014-07-05 01:30:00.000000      2         2       1    0.500000   0.166667      2.166667  0.545367  0.234224    0.502018    0.179406        0.752524           1.427621  3.396845    1.255664    0.723788  0.048165  0.101914  1.666667  0.108779   3.806621       1.154623    0.055543  0.142852  1.666667  0.159440        0.166667        0.741301       0.956123
25    731823     614        832              4      2013        1                   Brazil                 Colombia  2014-07-04 21:00:00.000000      2         1       3    1.833333   2.000000      0.833333  0.483506  0.210992    0.442098    0.151087        1.787198           0.679939  3.600303    1.013261    0.775224  0.072710  0.189735  2.000000  0.180070   3.185240       1.016756    0.045992  0.162262  2.833333  0.134821        1.916667        1.340622       1.025705
26    731824     357        368              4      2013        0                  Germany                   France  2014-07-04 17:00:00.000000      1         0       3    2.166667   2.000000      1.000000  0.757497  0.211431    0.480940    0.165643        1.862769           0.930329  5.677403    1.099930    0.831290  0.071210  0.142134  0.833333  0.149749   3.891435       1.055923    0.048654  0.101154  1.166667  0.133902        1.583333        1.532387       1.081469
27    731824     368        357              4      2013        1                   France                  Germany  2014-07-04 17:00:00.000000      0         1       0    1.666667   1.833333      1.000000  0.707591  0.245728    0.407240    0.135656        2.032183           0.910804  4.336828    1.010931    0.799567  0.071235  0.169848  1.500000  0.173198   3.361925       0.990949    0.037295  0.141458  1.666667  0.135809        1.333333        1.651148       1.056878
28    741511    2079       1131             98      2014        0               Chivas USA     San Jose Earthquakes  2014-07-03 03:30:00.000000      1         0       3    1.333333   1.000000      1.333333  0.412015  0.157302    0.541621    0.166411        0.718762           1.428185  2.653096    1.135041    0.696759  0.033614  0.102711  2.666667  0.091809   4.958366       1.100917    0.053044  0.136364  1.166667  0.145190        1.000000        0.773616       0.853988
29    741511    1131       2079             98      2014        1     San Jose Earthquakes               Chivas USA  2014-07-03 03:30:00.000000      0         1       0    1.500000   1.166667      0.833333  0.412678  0.124039    0.567447    0.253081        0.847664           1.258558  3.560766    1.181476    0.744911  0.035336  0.129169  1.666667  0.116944   3.691896       1.275933    0.063372  0.130589  1.500000  0.168018        1.166667        0.730626       1.008899
