matchid  teamid  op_teamid  competitionid  seasonid  is_home      team_name   op_team_name                   timestamp  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
58   731789     114        837              4      2013        0        England        Uruguay  2014-06-19 20:00:00.000000    1.000000   0.666667      1.166667  0.691635  0.254811    0.563466    0.200173        1.454530           1.025424  4.174956    1.204472    0.773175  0.086478  0.127483  1.666667  0.170741   3.901800       1.105191    0.032218  0.134009  1.666667  0.163454        0.458333        1.142342       1.034293
59   731789     837        114              4      2013        1        Uruguay        England  2014-06-19 20:00:00.000000    1.166667   1.500000      1.833333  0.363332  0.117758    0.541198    0.175510        0.979555           1.189495  2.906971    1.288411    0.684716  0.060469  0.165874  2.000000  0.146212   4.094467       1.270398    0.067900  0.160694  2.333333  0.161470        0.944444        0.959162       0.903006
62   731786     366        575              4      2013        0    Netherlands      Australia  2014-06-18 17:00:00.000000    2.500000   2.333333      1.166667  0.341693  0.106898    0.466254    0.165114        1.713535           0.721252  3.551576    1.055663    0.764726  0.036815  0.160788  4.000000  0.141312   4.342870       1.064365    0.054100  0.190867  2.500000  0.150935        2.083333        0.967933       0.969137
63   731786     575        366              4      2013        1      Australia    Netherlands  2014-06-18 17:00:00.000000    0.833333   1.000000      2.000000  0.472451  0.189182    0.577271    0.217380        1.228781           1.172554  3.836498    1.085507    0.775291  0.044727  0.158583  2.833333  0.146343   4.492279       0.967608    0.044593  0.228209  3.000000  0.178296        0.722222        0.906407       0.961803
65   731783     659        614              4      2013        0         Mexico         Brazil  2014-06-17 20:00:00.000000    1.166667   1.000000      1.166667  0.577728  0.143748    0.402439    0.130571        0.603144           1.070303  4.461789    1.047412    0.803353  0.041073  0.168579  2.333333  0.136888   3.307691       1.054301    0.053216  0.208131  1.333333  0.129809        0.805556        1.106410       1.081252
66   731783     614        659              4      2013        1         Brazil         Mexico  2014-06-17 20:00:00.000000    2.166667   2.000000      0.833333  0.651319  0.242733    0.356654    0.132594        1.328066           0.587041  4.738156    0.978913    0.817916  0.073511  0.179160  2.000000  0.186732   2.921919       0.941449    0.041186  0.146627  2.666667  0.125197        1.916667        1.512446       1.089274
67   731780     596       1219              4      2013        0            USA          Ghana  2014-06-16 23:00:00.000000    1.000000   1.166667      1.333333  0.490508  0.163948    0.523561    0.171241        1.224745           0.881580  3.185308    1.275451    0.710546  0.044145  0.192756  2.166667  0.147892   3.555931       1.194154    0.050023  0.161044  3.333333  0.139174        0.833333        1.128692       0.955579
68   731780    1219        596              4      2013        1          Ghana            USA  2014-06-16 23:00:00.000000    1.333333   0.833333      1.166667  0.535522  0.202349    0.394444    0.149116        0.752102           1.293650  3.832189    1.140813    0.766598  0.048268  0.136603  2.833333  0.201199   3.778773       1.184569    0.049703  0.186999  2.666667  0.141266        0.833333        1.535714       1.026477
69   731779     359        357              4      2013        0       Portugal        Germany  2014-06-16 17:00:00.000000    0.833333   1.333333      0.833333  0.453184  0.149003    0.586196    0.191525        1.151875           0.716807  4.008001    1.077641    0.781045  0.055625  0.141338  2.166667  0.158125   4.281253       0.985928    0.044580  0.168662  1.833333  0.143382        1.222222        1.225783       0.985770
70   731779     357        359              4      2013        1        Germany       Portugal  2014-06-16 17:00:00.000000    2.000000   2.000000      0.833333  0.639505  0.202350    0.610147    0.220038        1.525807           1.399594  4.381147    1.209607    0.779703  0.072157  0.121253  1.833333  0.160857   4.257347       1.104791    0.052344  0.116910  1.500000  0.175114        1.750000        0.963367       0.995234
